Name,Menu_Item,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,Overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Donato's taco shop,California,1/18/2016,Miramar,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3,,,,,,3,5,3,3.5,4,4,4,4,4,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,California,1/24/2016,San Marcos,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,,,,,,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carnitas,1/24/2016,,,,,,,4.85,1.5,,,,,,3,2,2.5,3,4.5,4,3,3,5,3,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar's Mexican food,Carne asada,1/24/2016,,,,,,,5.25,2,,,,,,3,2,3.5,3,4,5,4,4,5,3.75,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,California,1/27/2016,Carlsbad,3055 Harding St,http://pollosmaria.com/,4,3.8,x,6.59,4,,,,,,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollos Maria,combo chicken,1/28/2016,,,,,,,6.99,4,,,,,,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,,Emily,,,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3,2.9,,7.19,1.5,,,,,,2,3,3,2,2.5,2.5,,2,3,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico's Taco Shop,Carnitas,1/30/2016,,,,,,,6.99,4,,,,,,2.5,3,3,2.5,3,3.5,,2.5,3,3,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,2/1/2016,UTC,7770 Regents Rd,http://www.primosmex.com/,3,3.7,x,9.25,3.5,,,,,,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JV's Mexican Food,Surf & Turf,2/6/2016,,,,,,,9.5,2,,,,,,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,,Emily,Huge. Shrimp is good. Meat is normal,,,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,x,6.95,2,,,,,,3,4,4,3,4,4,1,2,1,3,,Marc,,,,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,California,2/11/2016,,,,,,,6.25,3.5,,,,,,3,3.5,3.5,4,2,3.5,1,4,4,3.9,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,battered fish ,2/11/2016,,,,,,,6.99,3,,,,,,3,1,1.5,2.5,4,4,3,4.5,5,2,,Nicole,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,
Tony's Fresh Mexican Food,California,2/11/2016,,,,,,,6.25,3,,,,,,4,,2,2,4,4,,3,4,2.75,,Cris,"to-go, no guac or sour cream, fries are a small and underdone",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California,2/12/2016,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4,,,,,,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,,Emily,Horchata is very sweet,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,Surf and turf ,2/12/2016,,,,,,,8.49,2.5,,,,,,4,4,4.5,4,5,4.5,3.5,4,2,4.1,,Scott,,,,x,x,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,
Graciela's Taco Shop,Adobada ,2/14/2016,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,,5.99,3,,,,,,4,4,3,3.5,4,4.5,4,4,4.5,4,,Scott,Salsa verde spicy,,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,
Graciela's Taco Shop,Barbacoa,2/14/2016,,,,,,,5.99,2,,,,,,3.5,4,3.5,,4,,4,4,1.5,4,,Emily,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4,,6.4,4,,,,,,3,4,2.75,3,4,2,2,,5,3,,Leo,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop La Jolla,California,2/17/2016,,,,,,,6.4,2.5,,,,,,3.5,3,3,3,4,4,1.5,,4.5,3.5,,Scott,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,2/24/2016,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4,4.4,,8.75,3.5,,,,,,1.5,2,3,3.5,4,1,3.5,4.5,4,4,,Scott,Rolled tacos need more meat,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Lolita's taco shop,Adobado,2/24/2016,,,,,,,5.5,2.5,,,,,,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,,Emily,Adobado reminds me of Indian food because of some mystery spice,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California,2/28/2016,,,,,,,7.49,2.5,,,,,,4,3,4,4,4,4,4,4,3,4.6,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
